method,score,selection_rate,selected_rows,detector_calls,detector_call_savings,split,subset,samples,tp,fp,tn,fn,accuracy,mcc,tpr,fpr,tnr,precision,f1,yes_rate
lh_alone_base_yes_suppress,lh_shape_pope_layers_22_31,0.75,3037,0,1.0,random,all,3000,329,3,1497,1171,0.6086666666666667,0.3463822632792348,0.21933333333333332,0.002,0.998,0.9909638554216867,0.35917030567685587,0.11066666666666666
lh_alone_base_yes_suppress,lh_shape_pope_layers_22_31,0.75,3037,0,1.0,random,negative_related_present,840,0,3,837,0,0.9964285714285714,0.0,0.0,0.0035714285714285713,0.9964285714285714,0.0,0.0,0.0035714285714285713
lh_alone_base_yes_suppress,lh_shape_pope_layers_22_31,0.75,3037,0,1.0,popular,all,3000,330,5,1495,1170,0.6083333333333333,0.34396349312301056,0.22,0.0033333333333333335,0.9966666666666667,0.9850746268656716,0.35967302452316074,0.11166666666666666
lh_alone_base_yes_suppress,lh_shape_pope_layers_22_31,0.75,3037,0,1.0,popular,negative_related_present,980,0,5,975,0,0.9948979591836735,0.0,0.0,0.00510204081632653,0.9948979591836735,0.0,0.0,0.00510204081632653
lh_alone_base_yes_suppress,lh_shape_pope_layers_22_31,0.75,3037,0,1.0,adversarial,all,3000,330,15,1485,1170,0.605,0.3291309653254087,0.22,0.01,0.99,0.9565217391304348,0.35772357723577236,0.115
lh_alone_base_yes_suppress,lh_shape_pope_layers_22_31,0.75,3037,0,1.0,adversarial,negative_related_present,1272,0,14,1258,0,0.9889937106918238,0.0,0.0,0.0110062893081761,0.9889937106918238,0.0,0.0,0.0110062893081761
lh_to_tdev_all,prompt_token_pos,0.25,2250,2250,0.75,macro,all,9000,3653,367,4133,847,0.8651111111111112,0.7344121635692872,0.8117777777777778,0.08155555555555556,0.9184444444444444,0.9087064676616915,0.8575117370892018,0.44666666666666666
lh_to_tdev_all,prompt_token_pos,0.25,2250,2250,0.75,macro,negative_related_present,3092,0,331,2761,0,0.8929495472186287,0.0,0.0,0.10705045278137128,0.8929495472186287,0.0,0.0,0.10705045278137128
lh_to_tdev_all,prompt_token_pos,0.25,2250,2250,0.75,random,all,3000,1219,48,1452,281,0.8903333333333333,0.790258737420365,0.8126666666666666,0.032,0.968,0.9621152328334649,0.8810986628117093,0.42233333333333334
lh_to_tdev_all,prompt_token_pos,0.25,2250,2250,0.75,random,negative_related_present,840,0,40,800,0,0.9523809523809523,0.0,0.0,0.047619047619047616,0.9523809523809523,0.0,0.0,0.047619047619047616
lh_to_tdev_all,prompt_token_pos,0.25,2250,2250,0.75,popular,all,3000,1218,109,1391,282,0.8696666666666667,0.7443001632303099,0.812,0.07266666666666667,0.9273333333333333,0.9178598342125094,0.8616908383445349,0.44233333333333336
lh_to_tdev_all,prompt_token_pos,0.25,2250,2250,0.75,popular,negative_related_present,980,0,92,888,0,0.9061224489795918,0.0,0.0,0.09387755102040816,0.9061224489795918,0.0,0.0,0.09387755102040816
lh_to_tdev_all,prompt_token_pos,0.25,2250,2250,0.75,adversarial,all,3000,1216,210,1290,284,0.8353333333333334,0.6714842862127484,0.8106666666666666,0.14,0.86,0.85273492286115,0.8311688311688311,0.47533333333333333
lh_to_tdev_all,prompt_token_pos,0.25,2250,2250,0.75,adversarial,negative_related_present,1272,0,199,1073,0,0.8435534591194969,0.0,0.0,0.15644654088050314,0.8435534591194969,0.0,0.0,0.15644654088050314
lh_to_tdev_base_yes,prompt_token_pos,0.25,1013,1013,0.8874444444444445,macro,all,9000,3632,360,4140,868,0.8635555555555555,0.7317889857713503,0.8071111111111111,0.08,0.92,0.9098196392785571,0.8553933113518606,0.44355555555555554
lh_to_tdev_base_yes,prompt_token_pos,0.25,1013,1013,0.8874444444444445,macro,negative_related_present,3092,0,325,2767,0,0.8948900388098319,0.0,0.0,0.10510996119016817,0.8948900388098319,0.0,0.0,0.10510996119016817
lh_to_tdev_base_yes,prompt_token_pos,0.25,1013,1013,0.8874444444444445,random,all,3000,1208,41,1459,292,0.889,0.7891263836334087,0.8053333333333333,0.027333333333333334,0.9726666666666667,0.967173738991193,0.878865041833394,0.41633333333333333
